dataset,model,accuracy,epochs
german.numer,Adding (prop),0.73,200
german.numer,perceptron,0.77,-1
german.numer,svm,0.7,-1
german.numer,Adding,0.77,200
german.numer,Adding (prop),0.77,200
german.numer,perceptron,0.38,-1
german.numer,svm,0.7,-1
german.numer,Adding,0.76,200
german.numer,Adding (prop),0.74,200
german.numer,perceptron,0.66,-1
german.numer,svm,0.68,-1
german.numer,Adding,0.75,200
german.numer,Adding (prop),0.77,200
german.numer,perceptron,0.67,-1
german.numer,svm,0.74,-1
german.numer,Adding,0.8,200
german.numer,Adding (prop),0.78,200
german.numer,perceptron,0.48,-1
german.numer,svm,0.32,-1
german.numer,Adding,0.8,200
german.numer,Adding (prop),0.77,200
german.numer,perceptron,0.62,-1
german.numer,svm,0.38,-1
german.numer,Adding,0.75,200
german.numer,Adding (prop),0.71,200
german.numer,perceptron,0.76,-1
german.numer,svm,0.71,-1
phishing,Adding,0.9416553595658074,200
phishing,Adding (prop),0.9416553595658074,200
phishing,perceptron,0.8109452736318408,-1
phishing,svm,0.9416553595658074,-1
phishing,Adding,0.9407507914970602,300
phishing,Adding (prop),0.9412030755314338,300
phishing,perceptron,0.911352329262777,-1
phishing,svm,0.9425599276345545,-1
phishing,Adding,0.9389416553595658,300
phishing,Adding (prop),0.9389416553595658,300
phishing,perceptron,0.9285391225689733,-1
phishing,svm,0.9412030755314338,-1
phishing,Adding,0.9430122116689281,200
phishing,Adding (prop),0.942107643600181,200
phishing,perceptron,0.9339665309814563,-1
phishing,svm,0.9425599276345545,-1
skin_nonskin,Adding,0.8973924753121685,200
skin_nonskin,Adding (prop),0.899718436301314,200
skin_nonskin,perceptron,0.9293234309964906,-1
skin_nonskin,svm,0.9151840365624745,-1
skin_nonskin,Adding,0.9105321145841835,200
skin_nonskin,Adding (prop),0.9085530074267526,200
skin_nonskin,perceptron,0.9357300252999265,-1
skin_nonskin,svm,0.9207541010364808,-1
ijcnn,Adding,0.9237412896260673,200
ijcnn,Adding (prop),0.9235340945027862,200
ijcnn,perceptron,0.897318458904483,-1
ijcnn,svm,0.9178307761093117,-1
ijcnn,Adding,0.9220292036073762,300
ijcnn,Adding (prop),0.9219528685619568,300
ijcnn,perceptron,0.897318458904483,-1
ijcnn,svm,0.9178307761093117,-1
ijcnn,Adding,0.9234686644638553,200
ijcnn,Adding (prop),0.9232941843600397,200
ijcnn,perceptron,0.897318458904483,-1
ijcnn,svm,0.9178307761093117,-1
cod RNA,Adding,0.8900547462051345,200
cod RNA,Adding (prop),0.8900400195864029,200
cod RNA,perceptron,0.6846957296487334,-1
cod RNA,svm,0.9319777480790967,-1
cod RNA,Adding,0.8897049890102607,200
cod RNA,Adding (prop),0.8896902623915293,200
cod RNA,perceptron,0.6846957296487334,-1
cod RNA,svm,0.920737656332262,-1
IMDB,Adding,0.8764750590023601,10
IMDB,Adding (prop),0.8769150766030641,10
IMDB,perceptron,0.8492739709588384,-1
IMDB,svm,0.8525941037641506,-1
IMDB,Adding,0.8774350974038961,10
IMDB,Adding (prop),0.8776751070042802,10
IMDB,perceptron,0.8492739709588384,-1
IMDB,svm,0.8524340973638945,-1
skin_nonskin,Adding,0.8866196033624418,300
skin_nonskin,Adding (prop),0.8863339590304415,300
skin_nonskin,perceptron,0.9169387088876194,-1
skin_nonskin,svm,0.7877662613237575,-1
covtype,Adding,0.6051806114326284,300
covtype,Adding (prop),0.6043394074998386,300
covtype,perceptron,0.5051526430154256,-1
covtype,svm,0.5581269766141004,-1
IMDB,Adding,0.8817952718108725,200
IMDB,Adding (prop),0.8817952718108725,200
IMDB,perceptron,0.8492739709588384,-1
IMDB,svm,0.8524340973638945,-1
