8.386e-01,8.360e-01,8.250e-01,8.504e-01,8.434e-01,8.357e-01
8.424e-01,8.233e-01,8.439e-01,8.438e-01,8.378e-01,8.387e-01
8.445e-01,8.485e-01,8.418e-01,8.465e-01,8.369e-01,8.389e-01
8.403e-01,8.395e-01,8.445e-01,8.417e-01,8.417e-01,8.537e-01
8.411e-01,8.425e-01,8.271e-01,8.439e-01,8.289e-01,8.641e-01
8.547e-01,8.433e-01,8.373e-01,8.393e-01,8.505e-01,8.637e-01
8.432e-01,8.498e-01,8.408e-01,8.503e-01,8.313e-01,8.706e-01
8.393e-01,8.430e-01,8.436e-01,8.435e-01,8.468e-01,8.706e-01
8.351e-01,8.473e-01,8.445e-01,8.468e-01,8.397e-01,8.619e-01
8.378e-01,8.409e-01,8.468e-01,8.378e-01,8.411e-01,8.590e-01
