4.621e-01,4.772e-01,4.833e-01,5.014e-01,5.096e-01,5.267e-01
4.906e-01,5.086e-01,5.180e-01,5.066e-01,5.175e-01,6.282e-01
4.970e-01,5.052e-01,5.089e-01,5.539e-01,5.599e-01,6.483e-01
4.953e-01,5.259e-01,5.574e-01,5.681e-01,5.746e-01,6.495e-01
5.067e-01,5.255e-01,5.414e-01,5.742e-01,5.936e-01,6.718e-01
5.070e-01,5.357e-01,5.398e-01,5.873e-01,6.321e-01,6.691e-01
5.221e-01,5.557e-01,5.741e-01,6.023e-01,6.262e-01,6.644e-01
5.349e-01,5.518e-01,5.984e-01,6.046e-01,6.274e-01,6.819e-01
5.238e-01,5.705e-01,5.847e-01,6.225e-01,6.244e-01,6.836e-01
5.417e-01,5.806e-01,6.143e-01,6.330e-01,6.310e-01,6.881e-01
