8.461e-02,8.735e-02,8.867e-02,8.623e-02,8.570e-02,9.196e-02
8.934e-02,8.659e-02,8.555e-02,8.975e-02,8.543e-02,8.566e-02
8.566e-02,8.504e-02,8.835e-02,8.386e-02,9.093e-02,8.815e-02
8.741e-02,8.697e-02,8.993e-02,8.689e-02,8.774e-02,8.461e-02
8.578e-02,8.799e-02,8.661e-02,8.458e-02,8.818e-02,8.390e-02
8.521e-02,8.381e-02,9.120e-02,8.395e-02,8.746e-02,8.038e-02
8.666e-02,8.662e-02,8.344e-02,8.830e-02,8.555e-02,8.389e-02
9.023e-02,8.884e-02,8.579e-02,8.452e-02,8.719e-02,8.248e-02
8.920e-02,8.790e-02,8.404e-02,8.740e-02,8.723e-02,8.028e-02
8.844e-02,8.413e-02,8.678e-02,8.836e-02,8.318e-02,8.429e-02
