8.836e-02,9.110e-02,9.235e-02,9.045e-02,9.039e-02,9.343e-02
9.324e-02,9.123e-02,8.820e-02,9.207e-02,8.932e-02,8.711e-02
9.283e-02,8.879e-02,9.103e-02,8.826e-02,9.341e-02,9.098e-02
9.158e-02,9.128e-02,9.436e-02,9.516e-02,9.186e-02,8.726e-02
9.083e-02,9.475e-02,9.115e-02,8.829e-02,9.196e-02,8.497e-02
9.073e-02,9.221e-02,9.408e-02,8.751e-02,9.224e-02,8.323e-02
9.156e-02,9.060e-02,8.838e-02,9.177e-02,8.780e-02,8.606e-02
9.196e-02,9.205e-02,8.756e-02,8.806e-02,9.289e-02,8.660e-02
9.284e-02,9.430e-02,8.920e-02,9.157e-02,9.135e-02,8.357e-02
9.283e-02,8.827e-02,9.093e-02,9.146e-02,8.596e-02,8.793e-02
