8.522e-01,8.515e-01,8.519e-01,8.666e-01,8.638e-01
8.582e-01,8.627e-01,8.625e-01,8.602e-01,8.589e-01
8.585e-01,8.552e-01,8.544e-01,8.454e-01,8.575e-01
8.566e-01,8.645e-01,8.531e-01,8.589e-01,8.536e-01
8.664e-01,8.631e-01,8.661e-01,8.614e-01,8.644e-01
8.671e-01,8.542e-01,8.711e-01,8.655e-01,8.692e-01
8.527e-01,8.620e-01,8.585e-01,8.621e-01,8.549e-01
8.613e-01,8.591e-01,8.678e-01,8.549e-01,8.603e-01
8.485e-01,8.575e-01,8.585e-01,8.548e-01,8.625e-01
8.639e-01,8.590e-01,8.607e-01,8.633e-01,8.520e-01
