dataset,max_acc,last_acc,ensemble_size,epoch_size,data_opts,train_time,all_accs
cod-rna,0.8900400195864029,0.8882765069933031,10,1.0,,0.18,"[0.8841604170578424, 0.889174830735926, 0.8900400195864029, 0.8900179296583056, 0.8895319512401654, 0.8890717444048053, 0.8887293505192974, 0.8885342228211047, 0.8882765069933031]"
cod-rna,0.8537941292334427,0.8537941292334427,10,1.0,,0.35,"[0.8523361939790219, 0.8530173000953548, 0.8531203864264755, 0.8533118324699853, 0.8533891472183258, 0.8535216867869095, 0.8536468630461275, 0.8537867659240769, 0.8537941292334427]"
cod-rna,0.884175143676574,0.8595816903949312,10,1.0,,0.34,"[0.884175143676574, 0.8763773990582328, 0.8708291454511315, 0.8672837119915174, 0.8646955087494523, 0.8628105015518175, 0.8614261993910544, 0.8601449835614119, 0.8595816903949312]"
cod-rna,0.8898890717444048,0.8898890717444048,10,1.0,,0.2,"[0.8828681562641514, 0.8870836508760497, 0.8882580987198887, 0.889049654476708, 0.8890570177860738, 0.8894767264199221, 0.8895761310963599, 0.8895982210244572, 0.8898890717444048]"
cod-rna,0.8385078989901221,0.6980785444210046,10,1.0,,0.2,"[0.8385078989901221, 0.7760670355684659, 0.7437494707621394, 0.7253043808009072, 0.715529587617859, 0.7085786235765803, 0.7041459113383919, 0.7005084365117058, 0.6980785444210046]"
cod-rna,0.8890349278579764,0.8890349278579764,10,1.0,,0.19,"[0.8827761148970793, 0.8861043307304035, 0.8873745015959973, 0.8880519260576474, 0.8883022785760832, 0.888556312749202, 0.8886446724615912, 0.8886593990803227, 0.8890349278579764]"
cod-rna,0.6975962476575472,0.6861720731765685,10,1.0,,0.18,"[0.6975962476575472, 0.6924750659936602, 0.689857409514132, 0.6885872386485382, 0.6877367764167928, 0.6870924868472886, 0.6866875048321718, 0.6864408339684188, 0.6861720731765685]"
cod-rna,0.8867081220983959,0.8636720087476115,10,1.0,,0.19,"[0.8867081220983959, 0.8795841202870218, 0.8747574709977652, 0.8715691580423905, 0.8694963864559287, 0.8675193378912218, 0.8660429943633867, 0.8647544152243785, 0.8636720087476115]"
cod-rna,0.7937647496290733,0.7937647496290733,10,1.0,,0.17,"[0.7937647496290733, 0.7937647496290733, 0.7937647496290733, 0.7937647496290733, 0.7937647496290733, 0.7937647496290733, 0.7937647496290733, 0.7937647496290733, 0.7937647496290733]"
cod-rna,0.8706192911342073,0.8706192911342073,10,1.0,,0.17,"[0.8706192911342073, 0.8706192911342073, 0.8706192911342073, 0.8706192911342073, 0.8706192911342073, 0.8706192911342073, 0.8706192911342073, 0.8706192911342073, 0.8706192911342073]"
cod-rna,0.8316158414237695,0.8316158414237695,10,1.0,,0.18,"[0.8316158414237695, 0.8316158414237695, 0.8316158414237695, 0.8316158414237695, 0.8316158414237695, 0.8316158414237695, 0.8316158414237695, 0.8316158414237695, 0.8316158414237695]"
cod-rna,0.8766130249579371,0.8766130249579371,10,1.0,,0.17,"[0.8766130249579371, 0.8766130249579371, 0.8766130249579371, 0.8766130249579371, 0.8766130249579371, 0.8766130249579371, 0.8766130249579371, 0.8766130249579371, 0.8766130249579371]"
cod-rna,0.7238464455464864,0.7238464455464864,50,1.0,whole,0.94,"[0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864, 0.7238464455464864]"
cod-rna,0.769123434836553,0.769123434836553,50,1.0,whole,0.88,"[0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553, 0.769123434836553]"
cod-rna,0.8877721203017485,0.8877721203017485,50,2.0,whole,0.9,"[0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485, 0.8877721203017485]"
cod-rna,0.8572585662900334,0.8572585662900334,50,1.0,whole,0.89,"[0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334, 0.8572585662900334]"
cod-rna,0.8217195536361862,0.8217195536361862,50,1.0,whole,0.86,"[0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862, 0.8217195536361862]"
cod-rna,0.8889318415268558,0.8889318415268558,50,0.5,whole,0.87,"[0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558, 0.8889318415268558]"
