9.598e-01,9.596e-01,9.598e-01,9.599e-01,9.601e-01
9.631e-01,9.640e-01,9.642e-01,9.647e-01,9.645e-01
9.647e-01,9.653e-01,9.658e-01,9.661e-01,9.663e-01
9.655e-01,9.663e-01,9.668e-01,9.669e-01,9.672e-01
9.660e-01,9.670e-01,9.673e-01,9.674e-01,9.672e-01
9.665e-01,9.674e-01,9.673e-01,9.675e-01,9.676e-01
9.665e-01,9.672e-01,9.675e-01,9.675e-01,9.676e-01
9.669e-01,9.672e-01,9.675e-01,9.673e-01,9.674e-01
9.669e-01,9.671e-01,9.674e-01,9.673e-01,9.672e-01
9.671e-01,9.673e-01,9.669e-01,9.670e-01,9.671e-01
