9.341e-01,9.374e-01,9.389e-01,9.389e-01,9.395e-01
9.381e-01,9.390e-01,9.392e-01,9.396e-01,9.388e-01
9.393e-01,9.392e-01,9.390e-01,9.388e-01,9.383e-01
9.387e-01,9.388e-01,9.387e-01,9.391e-01,9.387e-01
9.394e-01,9.391e-01,9.391e-01,9.388e-01,9.392e-01
9.396e-01,9.389e-01,9.392e-01,9.386e-01,9.388e-01
9.390e-01,9.385e-01,9.389e-01,9.387e-01,9.389e-01
9.390e-01,9.397e-01,9.386e-01,9.389e-01,9.392e-01
9.392e-01,9.392e-01,9.383e-01,9.392e-01,9.387e-01
9.390e-01,9.387e-01,9.389e-01,9.386e-01,9.389e-01
